time;type;task;text
2026-01-05T07:56:00Z;in;Default;
2026-01-05T12:42:00Z;out;;
2026-01-05T13:42:00Z;in;Default;
2026-01-05T15:45:00Z;out;;
2026-01-05T16:16:00Z;in;Default;
2026-01-05T16:42:00Z;out;;
2026-01-05T17:44:00Z;in;Default;
2026-01-05T18:14:00Z;out;;
2026-01-06T08:13:00Z;in;Default;
2026-01-06T12:18:00Z;out;;
2026-01-06T13:03:00Z;in;Default;
2026-01-06T16:03:00Z;out;;
2026-01-06T18:14:00Z;in;Default;
2026-01-06T18:46:00Z;out;;
2026-01-06T18:50:00Z;in;Default;
2026-01-06T18:54:00Z;out;;
2026-01-08T08:00:00Z;in;Default;
2026-01-08T09:00:00Z;out;;
2026-01-08T09:00:00Z;in;PREreview;
2026-01-08T11:50:00Z;out;;
2026-01-08T13:06:00Z;in;PREreview;
2026-01-08T16:14:00Z;out;;
2026-01-09T08:40:00Z;in;PREreview;
2026-01-09T12:24:00Z;out;;
2026-01-12T08:00:00Z;in;Default;
2026-01-12T12:01:00Z;out;;
2026-01-12T13:05:00Z;in;Default;
2026-01-12T16:38:00Z;out;;
2026-01-12T19:14:00Z;in;Default;
2026-01-12T19:21:00Z;out;;
2026-01-12T19:23:00Z;in;Default;
2026-01-12T19:48:00Z;out;;
2026-01-13T08:02:00Z;in;Default;
2026-01-13T08:12:00Z;out;;
2026-01-13T08:19:00Z;in;Default;
2026-01-13T12:07:00Z;out;;
2026-01-13T13:04:00Z;in;Default;
2026-01-13T16:51:00Z;out;;
2026-01-15T08:18:00Z;in;PREreview;
2026-01-15T12:19:00Z;out;;
2026-01-15T13:18:00Z;in;PREreview;
2026-01-15T16:09:00Z;out;;
2026-01-15T16:33:00Z;in;Default;
2026-01-15T16:44:00Z;out;;
2026-01-16T12:57:00Z;in;PREreview;
2026-01-16T15:57:00Z;out;;
2026-01-16T16:20:00Z;in;Default;
2026-01-16T16:59:00Z;out;;
2026-01-16T18:14:00Z;in;Default;
2026-01-16T18:53:00Z;out;;
2026-01-19T07:34:00Z;in;Default;
2026-01-19T12:21:00Z;out;;
2026-01-19T13:15:00Z;in;Default;
2026-01-19T16:23:00Z;out;;
2026-01-20T08:04:00Z;in;Default;
2026-01-20T12:02:00Z;out;;
2026-01-20T13:00:00Z;in;Default;
2026-01-20T16:00:00Z;out;;
2026-01-22T08:03:00Z;in;Default;
2026-01-22T09:45:00Z;out;;
2026-01-22T10:10:00Z;in;Default;
2026-01-22T12:09:00Z;out;;
2026-01-22T13:13:00Z;in;Default;
2026-01-22T16:17:00Z;out;;
2026-01-22T19:00:00Z;in;Default;
2026-01-22T19:43:00Z;out;;
2026-01-23T08:04:00Z;in;Default;
2026-01-23T08:35:00Z;out;;
2026-01-23T08:52:00Z;in;Default;
2026-01-23T12:06:00Z;out;;
2026-01-26T08:26:00Z;in;Default;
2026-01-26T12:05:00Z;out;;
2026-01-26T13:02:00Z;in;Default;
2026-01-26T16:43:00Z;out;;
2026-01-27T08:08:00Z;in;Default;
2026-01-27T08:29:00Z;out;;
2026-01-27T08:37:00Z;in;Default;
2026-01-27T12:17:00Z;out;;
2026-01-27T13:07:00Z;in;Default;
2026-01-27T16:07:00Z;out;;
2026-01-27T18:16:00Z;in;Default;
2026-01-27T18:41:00Z;out;;
2026-01-27T18:45:00Z;in;Default;
2026-01-27T19:05:00Z;out;;
2026-01-29T07:57:00Z;in;Default;
2026-01-29T12:26:00Z;out;;
2026-01-29T13:26:00Z;in;Default;
2026-01-29T16:25:00Z;out;;
2026-01-30T08:02:00Z;in;Default;
2026-01-30T12:25:00Z;out;;
2026-02-02T07:40:00Z;in;Default;
2026-02-02T12:06:00Z;out;;
2026-02-02T13:00:00Z;in;Default;
2026-02-02T16:12:00Z;out;;
2026-02-03T08:31:00Z;in;Default;
2026-02-03T12:01:00Z;out;;
2026-02-03T13:00:00Z;in;Default;
2026-02-03T16:37:00Z;out;;
2026-02-04T12:59:00Z;in;Default;
2026-02-04T14:03:00Z;out;;
2026-02-05T08:09:00Z;in;Default;
2026-02-05T08:27:00Z;out;;
2026-02-05T08:34:00Z;in;Default;
2026-02-05T12:20:00Z;out;;
2026-02-05T13:19:00Z;in;Default;
2026-02-05T16:58:00Z;out;;
2026-02-06T08:47:00Z;in;Default;
2026-02-06T12:01:00Z;out;;
2026-02-09T07:50:00Z;in;Default;
2026-02-09T12:03:00Z;out;;
2026-02-09T13:00:00Z;in;Default;
2026-02-09T16:59:00Z;out;;
2026-02-10T07:39:00Z;in;Default;
2026-02-10T16:09:00Z;out;;
2026-02-10T17:57:00Z;in;Default;
2026-02-10T19:10:00Z;out;;
2026-02-12T08:35:00Z;in;Default;
2026-02-12T12:20:00Z;out;;
2026-02-12T13:33:00Z;in;Default;
2026-02-12T16:55:00Z;out;;
2026-02-13T08:05:00Z;in;Default;
2026-02-13T12:12:00Z;out;;
2026-02-16T07:46:00Z;in;Default;
2026-02-16T10:30:00Z;out;;
2026-02-16T11:00:00Z;in;Default;
2026-02-16T12:03:00Z;out;;
2026-02-16T13:04:00Z;in;Default;
2026-02-16T16:07:00Z;out;;
2026-02-17T08:01:00Z;in;Default;
2026-02-17T12:36:00Z;out;;
2026-02-17T14:00:00Z;in;Default;
2026-02-17T17:00:00Z;out;;
2026-02-19T08:32:00Z;in;Default;
2026-02-19T12:16:00Z;out;;
2026-02-19T13:34:00Z;in;Default;
2026-02-19T16:44:00Z;out;;
2026-02-20T07:58:00Z;in;Default;
2026-02-20T12:30:00Z;out;;
2026-02-23T08:00:00Z;in;Default;
2026-02-23T12:30:00Z;out;;
2026-02-23T13:35:00Z;in;Default;
2026-02-23T16:26:00Z;out;;
2026-02-24T07:43:00Z;in;Default;
